Pt1,Pt2,Pt3,F1,F2,F3,Error
8,35,9,[2.0],[2.0],[2.0],95408108.45418215
8,2,9,[2.0],[2.0],[2.0],61988289.564208545
8,14,9,[2.0],[2.0],[2.0],2573239.8707776708
8,28,9,[7.682129584895237e-16],[7.758159342156481e-16],[1.0828569770007257e-09],1000.0000362997455
8,17,9,[2.0],[2.0],[2.0],4828733.806208279
8,13,9,[2.0],[2.0],[2.0],2319899.4728464703
8,29,9,[2.0],[2.0],[2.0],91939617.513385
8,24,9,[2.0],[2.0],[2.0],97492343.0543729
8,20,9,[1.9153372972169826],[2.761964325047156],[1.9153372972169826],844962.6827453598
8,25,9,[2.0],[2.0],[2.0],97491305.7884825
8,18,9,[2.0],[2.0],[2.0],4429685.519752171
8,0,9,[2.0],[2.0],[2.0],65510722.731617615
8,26,9,[2.0],[2.0],[2.0],104340553.30509938
8,16,9,[1.9344728795054404],[2.589744084451036],[1.9344728795054404],963231.5571523099
11,30,9,[2.0],[2.0],[2.0],84530436.23200895
11,34,9,[2.0],[2.0],[2.0],89517134.7432581
11,32,9,[0.0011284521052919512],[4.915181909636036e-08],[1.1383136573724369e-06],999.9042271138593
11,12,9,[0.0011293068266345066],[1.3403672802301984e-08],[1.3971476309420672e-08],999.9040000243708
11,10,9,[7.09045513789906e-08],[0.0015392506330116442],[7.451581914129604e-08],999.869296222916
11,6,9,[2.0],[2.0],[2.0],89805410.13630794
11,22,9,[2.0],[2.0],[2.0],90199267.03583296
11,31,9,[2.0],[2.0],[2.0],82199002.3865369
11,38,9,[2.0],[2.0],[2.0],66965121.5176815
11,40,9,[1.8],[1.8],[1.8],8838718.450924149
11,1,9,[2.0],[2.0],[2.0],68437851.07727352
11,39,9,[2.0],[2.0],[2.0],67355835.84819628
11,47,9,[2.0],[2.0],[2.0],3689274.6678747092
11,5,9,[2.0],[2.0],[2.0],62202534.61598401
11,3,9,[2.0],[2.0],[2.0],63647651.4953983
11,46,9,[1.9475955325251857],[2.471640207273329],[1.9475955325251857],676524.5204709582
11,44,9,[2.0],[2.0],[2.0],2471911.422815743
11,41,9,[2.0],[2.0],[2.0],64400853.93040262
11,33,9,[2.0],[2.0],[2.0],91278865.96863458
11,27,9,[2.0],[2.0],[2.0],86934188.27748509
11,23,9,[1.4538023357029517],[1.4538023357029517],[1.4538023357029517],3641589.4048852283
11,36,9,[2.0],[2.0],[2.0],85258414.9259563
11,42,9,[1.8],[1.8],[1.8],9709422.764581129
11,49,9,[1.941202221734488],[2.5291800043896076],[1.941202221734488],829092.9187641863
11,4,9,[2.0],[2.0],[2.0],59755349.767478555
