Pt1,Pt2,Pt3,F1,F2,F3,Error
18,26,23,[2.0],[2.0],[2.0],17136629.00244968
18,13,23,[2.0],[2.0],[2.0],22827463.76728866
18,4,23,[1.878749740389121],[1.878749740389121],[1.878749740389121],6746523.553731761
18,7,23,[2.0],[2.0],[2.0],24635351.944016896
18,33,23,[2.0],[2.0],[2.0],10288539.308433626
8,43,23,[1.7951052543375936],[1.7951052543375936],[1.7951052543375936],20622353.07160734
8,12,23,[1.4905086711759296e-10],[6.015658306904684e-05],[0.00024051820824018524],999.9982008017726
8,11,23,[4.699637207197014e-16],[8.768863080506915e-11],[6.949837476949301e-12],999.9999999994833
8,37,23,[2.0],[2.0],[2.0],98136894.00126
8,9,23,[2.0],[2.0],[2.0],24274260.0056477
8,34,23,[2.0],[2.0],[2.0],5675205.892118184
8,31,23,[1.9348612921379207],[2.2886488784891634],[1.9348612921379207],1060944.7386174907
8,44,23,[1.8],[1.8],[1.8],21868733.517480873
8,48,23,[1.8698369129265793],[2.266144816033541],[1.8698369129265793],1298156.5902693996
8,49,23,[2.0],[2.0],[2.0],16977088.70402071
8,32,23,[4.170894685579879],[12.948036277048775],[9.506050859412177],24.280110111798603
8,17,23,[2.0],[2.0],[2.0],32559912.069433518
8,29,23,[2.0],[2.0],[2.0],5627537.256791835
8,36,23,[2.0],[2.0],[2.0],5344991.105720569
8,46,23,[1.9687401711072734],[1.9687401711072734],[1.9687401711072734],3877981.063497392
8,28,23,[2.0],[2.0],[2.0],7306353.1836868385
8,14,23,[2.0],[2.0],[2.0],18650486.1862526
8,25,23,[2.0],[2.0],[2.0],16813014.72827218
8,45,23,[1.9716169777677348],[1.9716169777677348],[1.9716169777677348],2902596.338954085
8,35,23,[2.0],[2.0],[2.0],5188503.894742437
8,3,23,[2.0],[2.0],[2.0],10235054.10512548
8,47,23,[2.0],[2.0],[2.0],10152481.421447115
8,27,23,[2.0],[2.0],[2.0],9111544.560887367
8,30,23,[2.0],[2.0],[2.0],5992137.9665951235
8,0,23,[1.9091118487092127],[1.9091118487092127],[1.9091118487092127],19994632.787497435
8,26,23,[2.0],[2.0],[2.0],12706741.889841696
8,13,23,[2.0],[2.0],[2.0],26760839.840758033
8,4,23,[2.0],[2.0],[2.0],20498162.482199997
8,7,23,[1.8471810182913941],[1.8471810182913941],[1.8471810182913941],12726292.093622124
8,33,23,[2.0],[2.0],[2.0],5078603.699568475
43,12,23,[2.0],[2.0],[2.0],31795293.14302202
43,11,23,[2.0],[2.0],[2.0],21508755.871389814
43,37,23,[2.0],[2.0],[2.0],241315810.75556484
43,9,23,[1.8813120885932584],[2.9202962515293587],[1.8813120885932584],4618642.701068151
43,34,23,[2.0],[2.0],[2.0],3494271.935963921
43,31,23,[1.9789080588160006],[2.189827470655994],[1.9789080588160006],1485134.4698546631
43,44,23,[2.0],[2.0],[2.0],201440104.67747307
43,48,23,[2.0],[2.0],[2.0],13741135.139947733
43,49,23,[2.0],[2.0],[2.0],21271969.565376937
43,32,23,[15.08017044257513],[13.575416509986631],[0.0054896675073011995],329.10619925086587
43,17,23,[2.0],[2.0],[2.0],51743574.82896519
43,29,23,[1.9245922284795087],[2.6786699436844197],[1.9245922284795087],276383.11418238655
43,36,23,[1.9183574210040653],[2.7347832109634127],[1.9183574210040653],334839.7101752566
43,46,23,[0.004234553894550855],[0.009466430841785127],[0.007575672988887955],999.4197703571477
43,28,23,[2.0],[2.0],[2.0],4019565.01551338
43,14,23,[2.0],[2.0],[2.0],23043742.371871315
43,25,23,[2.0],[2.0],[2.0],18821875.010710873
43,45,23,[0.01458726205886208],[0.023667191064851892],[0.013099906522127955],998.8487314585086
43,35,23,[1.9623907678058727],[2.338483089747146],[1.9623907678058727],1804789.5016737916
43,3,23,[1.8917219508021659],[2.8703604997425622],[1.8917219508021659],839031.3989214937
43,47,23,[2.0],[2.0],[2.0],6056843.725642508
43,27,23,[2.0],[2.0],[2.0],5985339.3879647385
43,30,23,[2.0],[2.0],[2.0],2926095.6850441373
43,0,23,[2.0],[2.0],[2.0],43658103.713533625
43,26,23,[1.8947204654338456],[2.94751581109539],[1.8947204654338456],2345383.0079477597
43,13,23,[8.333025679437321e-19],[8.665714731777068e-18],[4.02766175389932e-16],1000.0
43,4,23,[2.0],[2.0],[2.0],28033924.247212708
43,7,23,[1.765111109934981],[2.1527654439907487],[1.765111109934981],7894060.32215898
43,33,23,[2.0],[2.0],[2.0],5553506.287170692
12,11,23,[2.0],[2.0],[2.0],16500616.76810836
12,37,23,[2.0],[2.0],[2.0],43408415.22393812
12,9,23,[2.0],[2.0],[2.0],19332052.70901156
12,34,23,[2.0],[2.0],[2.0],12990571.583657365
12,31,23,[1.9105161636057424],[1.9105161636057424],[2.8053545275483183],2204342.748343497
12,44,23,[2.0],[2.0],[2.0],32569350.274636317
12,48,23,[2.0],[2.0],[2.0],15557224.856088325
12,49,23,[2.0],[2.0],[2.0],16685688.16765581
12,32,23,[0.017846237637049175],[0.07927295587927213],[0.07533259270447551],995.6378600631448
12,17,23,[1.800013433294747],[1.7999986742689746],[1.7999986714323877],767589.7224445263
12,29,23,[2.0],[2.0],[2.0],12791894.50622921
12,36,23,[2.0],[2.0],[2.0],11516796.893904798
12,46,23,[2.0],[2.0],[2.0],15611474.58018901
12,28,23,[1.698388053819289],[2.4406765636767793],[3.585485891396276],427420.09176399437
12,14,23,[2.0],[2.0],[2.0],18191452.95337263
12,25,23,[1.874070229688649],[1.874070229688649],[1.874070229688649],4364604.362719928
12,45,23,[2.066694869403012],[2.388192500456296],[3.677190576827806],901698.6126486094
12,35,23,[2.0],[2.0],[2.0],10696065.487903964
12,3,23,[2.0],[2.0],[2.0],16199438.947246559
12,47,23,[1.7395601517550576],[2.411114021143306],[3.672404764816233],1007840.595523479
12,27,23,[1.891462187988536],[2.0914621879885362],[2.776840308103176],3835770.569859443
