Pt1,Pt2,Pt3,F1,F2,F3,Error
7,43,21,[2.0],[2.0],[2.0],16528777.779196942
7,46,21,[14.303720404742755],[14.285535475757229],[1.6974517224280472e-05],3.640593389534693
7,48,21,[2.0],[2.0],[2.0],19510593.465508845
7,9,21,[2.887762765491758],[1.901359692723138],[1.901359692723138],1802795.5867316902
7,10,21,[2.0],[2.0],[2.0],16576199.633511875
7,49,21,[2.962724251516793],[2.070808416498134],[1.8708084164981342],328631.9102816925
7,42,21,[2.815694801603286],[1.9093672442663014],[1.9093672442663014],1743320.1255354655
7,38,21,[2.0],[2.0],[2.0],63345236.98183326
7,8,21,[18.96348314968814],[19.99999999376575],[9.966895775855073e-10],884.95301290746
7,39,21,[2.0],[2.0],[2.0],62353803.36013305
7,11,21,[19.167449430525203],[20.0],[3.349689121211466e-15],765.5280394154295
3,6,21,[1.8914522772707911],[1.891452279270791],[2.1886885791958317],14209870.11498462
3,5,21,[2.752066315754939e-17],[2.7098758353949705e-17],[3.8867487116787236e-17],1000.0
3,0,21,[2.0],[2.0],[2.0],65701124.06236918
3,30,21,[2.0],[2.0],[2.0],64004141.47437174
3,18,21,[2.0],[2.0],[2.0],69970510.6589146
3,22,21,[0.0],[0.0],[0.0],1000.0
3,32,21,[2.0],[2.0],[2.0],66005764.086069144
3,20,21,[2.0],[2.0],[2.0],75539940.87269464
3,29,21,[2.0],[2.0],[2.0],68007906.28284186
3,4,21,[8.772499167705065e-18],[8.618905165475821e-18],[1.28564625572481e-17],1000.0
3,17,21,[2.0],[2.0],[2.0],66316435.466336645
3,44,21,[2.9220112034654493],[1.8975543107260613],[1.8975543107260613],1485644.7476339915
3,13,21,[2.917985092876747],[2.0757794341248057],[1.8757794341248057],430997.98841967713
3,19,21,[2.0],[2.0],[2.0],60314498.73820729
3,15,21,[2.0],[2.0],[2.0],16900659.843653303
3,14,21,[2.949584278433289],[1.8944906357296345],[1.8944906357296345],1307556.0843093141
3,37,21,[2.51672097983346],[1.9425865577962822],[1.9425865577962822],59494308.761241995
3,33,21,[2.5209669519938385],[1.9421147831117958],[1.9421147831117958],59859644.14040116
3,36,21,[2.0],[2.0],[2.0],82965001.53706358
3,47,21,[2.0],[2.0],[2.0],16295338.124826368
3,16,21,[2.0],[2.0],[2.0],15277597.145333525
3,34,21,[2.0],[2.0],[2.0],85554177.9625695
3,31,21,[0.0],[0.0],[0.0],1000.0
3,40,21,[2.0],[2.0],[2.0],66934980.560100146
3,35,21,[2.0],[2.0],[2.0],76689804.1138291
3,12,21,[2.8595878000942907],[2.0822680222117453],[1.8822680222117456],596978.9335141787
3,41,21,[2.0],[2.0],[2.0],66360784.224014685
3,45,21,[2.943145026335787],[2.1357140097906386],[1.8651426204841968],537753.1960660672
3,43,21,[2.0],[2.0],[2.0],14861845.786001515
3,46,21,[2.8423904452406843],[1.906401061639924],[1.906401061639924],2033668.6747127532
3,48,21,[2.0],[2.0],[2.0],17354180.778277088
3,9,21,[2.0],[2.0],[2.0],13469194.882482445
3,10,21,[2.0],[2.0],[2.0],14900933.734669078
3,49,21,[2.0],[2.0],[2.0],16300451.509355873
3,42,21,[2.0],[2.0],[2.0],13901442.75806622
3,38,21,[2.0],[2.0],[2.0],63331781.171111695
3,8,21,[2.0],[2.0],[2.0],13929546.90223052
3,39,21,[1.8],[1.8],[1.8],5392193.82310485
3,11,21,[2.0],[2.0],[2.0],14084273.31399828
6,5,21,[1.9291341616236442],[1.9291341616236442],[1.9291341616236442],21923030.206407525
6,0,21,[1.8849342945486405],[1.8849342945486405],[2.303353605614419],11467219.26095259
6,30,21,[1.8890004422004447],[1.8890004422004447],[2.2417129438041172],11073910.12949831
6,18,21,[2.0],[2.0],[2.0],70270260.82728533
6,22,21,[0.0],[0.0],[0.0],1000.0
6,32,21,[2.0],[2.0],[2.0],57109602.63788573
6,20,21,[2.0],[2.0],[2.0],76026387.32188967
6,29,21,[1.2876278714938911e-17],[1.2976631550262984e-17],[1.8746517150203563e-17],1000.0
6,4,21,[2.0],[2.0],[2.0],48827060.32918757
6,17,21,[2.0],[2.0],[2.0],66492663.40407268
6,44,21,[2.8881639821952447],[1.9013151130894173],[1.9013151130894173],1093509.06149656
6,13,21,[0.006415633286516964],[0.005400322671208145],[2.0031669149989334e-10],999.5962108130601
6,19,21,[3.8],[1.8],[1.8],46301777.41604575
6,15,21,[3.6866280874756923],[2.342991791563789],[1.7462975151200648],1402880.3606425214
6,14,21,[3.9619999999999997],[1.782],[1.982],6851375.816441644
6,37,21,[2.0],[2.0],[2.0],84594541.62394877
6,33,21,[2.0],[2.0],[2.0],85332722.63872464
6,36,21,[2.0],[2.0],[2.0],83697498.63630345
6,47,21,[2.0],[2.0],[2.0],18745289.585688893
6,16,21,[2.0],[2.0],[2.0],17475931.066952635
6,34,21,[2.0],[2.0],[2.0],86371734.95474216
6,31,21,[2.0],[2.0],[2.0],49880557.65986201
6,40,21,[2.0],[2.0],[2.0],67132176.30831441
6,35,21,[2.0],[2.0],[2.0],77214564.53664967
6,12,21,[3.998026660085559],[1.7779970377682712],[2.022474395898591],8946908.44686741
6,41,21,[2.0],[2.0],[2.0],66538516.322250545
6,45,21,[2.9396167562472897],[1.8955981381947455],[1.8955981381947455],1456611.3989894618
6,43,21,[2.0],[2.0],[2.0],16952064.72618374
6,46,21,[14.556259266739898],[14.257594718319424],[2.058029656739593],60.68017340293479
6,48,21,[2.909508603350229],[1.8989434885166412],[1.8989434885166412],1016586.908592624
6,9,21,[2.0],[2.0],[2.0],15165427.476484107
6,10,21,[2.0],[2.0],[2.0],17001469.967321742
6,49,21,[15.080968351318663],[13.711819251483432],[1.1637528214768142e-16],295.71696318997886
6,42,21,[17.07381768044947],[14.286126887095392],[4.000733429217944],1.7432980955504471
6,38,21,[2.0],[2.0],[2.0],63406493.594832964
6,8,21,[2.0],[2.0],[2.0],15762527.551502623
6,39,21,[2.0],[2.0],[2.0],62408725.63379077
6,11,21,[2.939277377010309],[1.8956358469988546],[1.8956358469988546],1459813.768574593
5,0,21,[0.0],[0.0],[0.0],1000.0
5,30,21,[1.84982596481382],[1.84982596481382],[2.45850444476819],5568270.407157087
5,18,21,[2.0],[2.0],[2.0],70281584.95253566
5,22,21,[2.0],[2.0],[2.0],64438230.84255323
5,32,21,[2.0],[2.0],[2.0],56959691.37985916
5,20,21,[2.0],[2.0],[2.0],76041220.59349349
5,29,21,[2.0],[2.0],[2.0],58735541.7675449
5,4,21,[1.9231301594804175],[1.9231301594804175],[1.9231301594804175],18006320.516571064
5,17,21,[2.0],[2.0],[2.0],66501663.11841766
5,44,21,[2.0],[2.0],[2.0],19732475.154968962
5,13,21,[2.0],[2.0],[2.0],20874318.951938298
5,19,21,[6.900492315736301e-07],[9.868505976881063e-07],[0.0],999.9999507691377
5,15,21,[0.019567692568002962],[0.017191827443157132],[1.9238901887656796e-10],999.4664562887225
5,14,21,[0.022524177701281015],[0.01895782050182154],[0.0],999.4644604514193
5,37,21,[2.619980705383189],[1.9311132549574235],[1.9311132549574235],53659229.94391469
5,33,21,[2.0],[2.0],[2.0],85353149.76235056
5,36,21,[0.0],[0.0],[0.0],1000.0
5,47,21,[15.082790929177177],[13.690424060883466],[0.0],301.20225542595097
5,16,21,[2.0],[2.0],[2.0],17519956.75057218
5,34,21,[2.0],[2.0],[2.0],86392780.74449328
5,31,21,[2.0],[2.0],[2.0],49746772.79694982
5,40,21,[2.0],[2.0],[2.0],67141570.7462727
5,35,21,[2.3292676825347365],[1.741192479904661],[1.7411924799562388],593845.073903832
5,12,21,[0.07459335911231128],[0.06782035792604921],[2.610823682997991e-10],997.8848721767534
5,41,21,[2.0],[2.0],[2.0],66547544.354910955
5,45,21,[15.90695628456113],[14.286038902409194],[2.319771684269623],1.1486793578888215
5,43,21,[2.0],[2.0],[2.0],16994053.716766726
5,46,21,[14.581214423345653],[14.254825694403168],[0.0],66.37740893461566
5,48,21,[3.9658225777038],[2.4768632709218004],[2.2710412809018],67386.33223311725
5,9,21,[2.8846119389442504],[2.0794875623395277],[1.8794875623395277],589236.4601517167
5,10,21,[2.0],[2.0],[2.0],17043653.30484632
5,49,21,[15.083191026474974],[13.687697656244016],[8.416441858714159e-10],301.9380138458597
5,42,21,[2.0],[2.0],[2.0],15763278.981103603
5,38,21,[2.0],[2.0],[2.0],63413581.32531838
5,8,21,[2.0],[2.0],[2.0],15799672.51009471
5,39,21,[2.5009940243260687],[1.9443339972971034],[1.9443339972971034],43559779.65582866
5,11,21,[2.941429146370942],[1.89539676151434],[1.89539676151434],1446745.097192368
0,30,21,[1.9071422228544914],[1.9071422228544914],[1.9071422228544914],20933155.544924267
0,18,21,[2.0],[2.0],[2.0],70051305.26114708
0,22,21,[2.9847040926718087],[1.8905884341475767],[1.8905884341475767],32735914.471623376
0,32,21,[2.0],[2.0],[2.0],61073015.54805811
0,20,21,[2.0],[2.0],[2.0],75719310.27352951
0,29,21,[6.511460548240957e-16],[6.52155002542743e-16],[8.483811263948111e-16],999.9999999999999
0,4,21,[1.8884218745090324],[1.8884218745090324],[2.1368544828002665],10658902.862037819
0,17,21,[2.0],[2.0],[2.0],66332045.67137173
0,44,21,[2.0],[2.0],[2.0],18403732.07785303
0,13,21,[3.9619999999999997],[1.782],[1.982],9593112.326597556
0,19,21,[1.9046013962627988],[1.9046013962627988],[1.9046013962627988],34040223.02211989
0,15,21,[2.979230296979149],[1.8911966336689834],[1.8911966336689834],1157384.2434641253
0,14,21,[2.0],[2.0],[2.0],19536102.221740726
0,37,21,[2.0],[2.0],[2.0],84157948.00977561
0,33,21,[3.1243080701831274],[1.5679423583666496],[1.5679423583771135],3743439.679546894
0,36,21,[2.0],[2.0],[2.0],83274374.8173957
0,47,21,[2.962396509208511],[1.8930670545323878],[1.8930670545323878],1264706.4198265327
0,16,21,[2.0],[2.0],[2.0],16402105.731404148
0,34,21,[2.0],[2.0],[2.0],85908516.05607042
0,31,21,[1.8600282541014603],[1.8600282541014603],[2.4042347016398424],6628947.1677250685
0,40,21,[2.0],[2.0],[2.0],66961653.74808119
0,35,21,[2.0],[2.0],[2.0],76889410.61599277
0,12,21,[2.0],[2.0],[2.0],17221663.09261803
